SiteID,2088871,Site Timezone,-6,Data Timezone,0,Longitude,-100.302795,Latitude,52.370647
Year,Month,Day,Hour,Minute,wind speed at 10m (m/s),wind direction at 10m (deg)
2019,1,1,0,0,6.49,285.88
2019,1,1,1,0,5.65,279.18
2019,1,1,2,0,5.87,282.86
2019,1,1,3,0,6.05,274.88
2019,1,1,4,0,6.49,261.98
2019,1,1,5,0,6.62,250.29
2019,1,1,6,0,6.45,254.08
2019,1,1,7,0,7.01,249.72
2019,1,1,8,0,7.11,243.15
2019,1,1,9,0,8.040000000000001,244.56
2019,1,1,10,0,8.03,246.8
2019,1,1,11,0,7.44,249.14000000000001
2019,1,1,12,0,6.04,237.34
2019,1,1,13,0,5.22,212.62
2019,1,1,14,0,3.14,196.08
2019,1,1,15,0,4.46,224.59
2019,1,1,16,0,4.71,208.24
2019,1,1,17,0,3.68,193.84
2019,1,1,18,0,3.98,173.72
2019,1,1,19,0,4.54,158.09
2019,1,1,20,0,3.46,157.58
2019,1,1,21,0,3.8000000000000003,177.97
2019,1,1,22,0,4.41,172.19
2019,1,1,23,0,4.73,171.73
2019,1,2,0,0,3.7800000000000002,183.1
2019,1,2,1,0,3.2,172.44
2019,1,2,2,0,3.38,181.83
2019,1,2,3,0,3.3200000000000003,187.76
2019,1,2,4,0,2.84,180.14000000000001
2019,1,2,5,0,2.56,185.72
2019,1,2,6,0,1.1300000000000001,222.73000000000002
2019,1,2,7,0,2.2,269.57
2019,1,2,8,0,3.92,290.37
2019,1,2,9,0,4.29,306.55
2019,1,2,10,0,5.66,313.31
2019,1,2,11,0,4.88,317.06
2019,1,2,12,0,4.51,308.36
2019,1,2,13,0,3.77,297.3
2019,1,2,14,0,3.2,296.47
2019,1,2,15,0,3.06,4.49
2019,1,2,16,0,1.57,21.69
2019,1,2,17,0,1.28,278.3
2019,1,2,18,0,2.61,297.79
2019,1,2,19,0,2.6,314.73
2019,1,2,20,0,0.96,12.35
2019,1,2,21,0,0.89,72.01
2019,1,2,22,0,2.89,138.25
2019,1,2,23,0,3.15,155.83
2019,1,3,0,0,2.5500000000000003,182.62
2019,1,3,1,0,2.13,147.11
2019,1,3,2,0,3.2600000000000002,153.57
2019,1,3,3,0,3.62,163.6
2019,1,3,4,0,2.79,181.53
2019,1,3,5,0,3.58,249.93
2019,1,3,6,0,6.1000000000000005,256.63
2019,1,3,7,0,5.54,244.17000000000002
2019,1,3,8,0,5.75,255.04
2019,1,3,9,0,4.34,244.18
2019,1,3,10,0,4.08,260.94
2019,1,3,11,0,3.4,260.32
2019,1,3,12,0,4.0200000000000005,264.78000000000003
2019,1,3,13,0,3.0500000000000003,229.56
2019,1,3,14,0,4.51,255.3
2019,1,3,15,0,6.38,256.97
2019,1,3,16,0,4.96,246.67000000000002
2019,1,3,17,0,6.88,249.41
2019,1,3,18,0,5.88,247.21
2019,1,3,19,0,6.29,248.89000000000001
2019,1,3,20,0,6.07,252.65
2019,1,3,21,0,6.26,251
2019,1,3,22,0,6.78,258.33
2019,1,3,23,0,6.32,268.77
2019,1,4,0,0,5.19,267.81
2019,1,4,1,0,5.05,295.83
2019,1,4,2,0,4.8500000000000005,286.96
2019,1,4,3,0,4.32,226.53
2019,1,4,4,0,5.24,252.92000000000002
2019,1,4,5,0,3.96,242.74
2019,1,4,6,0,4.3500000000000005,245.79
2019,1,4,7,0,3.79,233.53
2019,1,4,8,0,2.97,241.74
2019,1,4,9,0,2.04,200.42000000000002
2019,1,4,10,0,2.89,234.82
2019,1,4,11,0,3.5,222.34
2019,1,4,12,0,4.08,251.35
2019,1,4,13,0,2.37,192.39000000000001
2019,1,4,14,0,3.68,249.58
2019,1,4,15,0,2.62,251.28
2019,1,4,16,0,1.61,224.22
2019,1,4,17,0,1.87,243.09
2019,1,4,18,0,2.89,317.8
2019,1,4,19,0,3.93,331.79
2019,1,4,20,0,3.68,349.91
2019,1,4,21,0,2.52,351.03000000000003
2019,1,4,22,0,1.61,3.2600000000000002
2019,1,4,23,0,0.5700000000000001,33.910000000000004
2019,1,5,0,0,0.64,282.59000000000003
2019,1,5,1,0,0.07,78.69
2019,1,5,2,0,1.49,333.21
2019,1,5,3,0,1.78,343.03000000000003
2019,1,5,4,0,2.56,348.29
2019,1,5,5,0,2.73,357.47
2019,1,5,6,0,4.69,343.3
2019,1,5,7,0,3.96,350.11
2019,1,5,8,0,4.78,332.06
2019,1,5,9,0,5.19,326.13
2019,1,5,10,0,2.67,323.52
2019,1,5,11,0,4.39,331.13
2019,1,5,12,0,3.5300000000000002,334.35
2019,1,5,13,0,4.94,321.24
2019,1,5,14,0,4.7,320.75
2019,1,5,15,0,5.08,326.57
2019,1,5,16,0,4.61,325.96
2019,1,5,17,0,4.5,352
2019,1,5,18,0,4.96,359.88
2019,1,5,19,0,3.8200000000000003,342.32
2019,1,5,20,0,4.47,343.42
2019,1,5,21,0,4.72,347.61
2019,1,5,22,0,4.43,345.90000000000003
2019,1,5,23,0,3.79,358.82
2019,1,6,0,0,3.49,31.7
2019,1,6,1,0,3.0100000000000002,38.44
2019,1,6,2,0,2.82,77.93
2019,1,6,3,0,2.7,154.34
2019,1,6,4,0,2.7,142.95000000000002
2019,1,6,5,0,3.42,148.74
2019,1,6,6,0,4.03,142.61
2019,1,6,7,0,4.17,142.07
2019,1,6,8,0,4.67,146.24
2019,1,6,9,0,4.84,150.53
2019,1,6,10,0,5.63,153.15
2019,1,6,11,0,5.97,156.25
2019,1,6,12,0,5.91,162.69
2019,1,6,13,0,4.86,151.77
2019,1,6,14,0,5.7,146.33
2019,1,6,15,0,6.37,144.72
2019,1,6,16,0,6.88,148.88
2019,1,6,17,0,6.82,148.26
2019,1,6,18,0,7.33,150
2019,1,6,19,0,7.12,150.81
