SiteID,2088871,Site Timezone,-6,Data Timezone,0,Longitude,-100.302795,Latitude,52.370647
Year,Month,Day,Hour,Minute,wind speed at 10m (m/s),wind direction at 10m (deg)
2018,1,1,0,0,3.95,297.55
2018,1,1,1,0,3.94,282.38
2018,1,1,2,0,2.7800000000000002,277.83
2018,1,1,3,0,2.22,281.69
2018,1,1,4,0,3.25,296.61
2018,1,1,5,0,3.66,281.90000000000003
2018,1,1,6,0,4.15,265.9
2018,1,1,7,0,3.79,262.52
2018,1,1,8,0,3.85,251
2018,1,1,9,0,4.42,251.66
2018,1,1,10,0,4.62,247.99
2018,1,1,11,0,4.28,248.29
2018,1,1,12,0,5.07,253.31
2018,1,1,13,0,4.71,253.82
2018,1,1,14,0,4.74,248.68
2018,1,1,15,0,4.97,245.13
2018,1,1,16,0,6.0200000000000005,250.89000000000001
2018,1,1,17,0,5.78,249.61
2018,1,1,18,0,6.2700000000000005,253.03
2018,1,1,19,0,6.7,243.82
2018,1,1,20,0,7.0200000000000005,240.55
2018,1,1,21,0,7.19,243.6
2018,1,1,22,0,6.43,242.09
2018,1,1,23,0,6.890000000000001,243.28
2018,1,2,0,0,7,258.68
2018,1,2,1,0,7.65,254.13
2018,1,2,2,0,7.8,248.53
2018,1,2,3,0,8.34,248.6
2018,1,2,4,0,8.25,253.3
2018,1,2,5,0,7.33,243.33
2018,1,2,6,0,8.26,244.06
2018,1,2,7,0,7.5,242.35
2018,1,2,8,0,4.87,234.8
2018,1,2,9,0,5.2700000000000005,253.74
2018,1,2,10,0,5.5,250.96
2018,1,2,11,0,5.08,261.61
2018,1,2,12,0,4.2700000000000005,289.94
2018,1,2,13,0,7.41,327.05
2018,1,2,14,0,5.94,332.61
2018,1,2,15,0,7.75,330.6
2018,1,2,16,0,6.96,343.29
2018,1,2,17,0,8.53,348.98
2018,1,2,18,0,7.75,352.07
2018,1,2,19,0,7.11,353.98
2018,1,2,20,0,6.66,350.61
2018,1,2,21,0,5.59,343.91
2018,1,2,22,0,6.3,336.34000000000003
2018,1,2,23,0,7.73,330.19
2018,1,3,0,0,7.09,325.6
2018,1,3,1,0,6.07,327.84000000000003
2018,1,3,2,0,5.58,323.99
2018,1,3,3,0,4.33,326.53000000000003
2018,1,3,4,0,3.4,313.29
2018,1,3,5,0,4.16,295.2
2018,1,3,6,0,3.73,280.37
2018,1,3,7,0,3.3200000000000003,293.54
2018,1,3,8,0,3.24,303.25
2018,1,3,9,0,3.29,327.53000000000003
2018,1,3,10,0,3.7600000000000002,322.05
2018,1,3,11,0,3.85,319.46
2018,1,3,12,0,2.2600000000000002,339.64
2018,1,3,13,0,0.67,348.86
2018,1,3,14,0,1.18,285.36
2018,1,3,15,0,1.1500000000000001,297.18
2018,1,3,16,0,0.55,303.34000000000003
2018,1,3,17,0,1.85,339.56
2018,1,3,18,0,1.28,357.11
2018,1,3,19,0,1.21,357.09000000000003
2018,1,3,20,0,1.36,328.89
2018,1,3,21,0,1.1500000000000001,92.08
2018,1,3,22,0,2.71,129.87
2018,1,3,23,0,1.85,125.4
2018,1,4,0,0,1.52,97.59
2018,1,4,1,0,2.1,103.47
2018,1,4,2,0,2.56,119.15
2018,1,4,3,0,2.57,117.06
2018,1,4,4,0,2.62,128.56
2018,1,4,5,0,2.62,128.51
2018,1,4,6,0,2.85,126.35000000000001
